epoch,DiceCoef,categorical_accuracy,loss,val_DiceCoef,val_categorical_accuracy,val_loss
0,0.3529208302497864,0.38987019658088684,1.2161754369735718,0.5212882161140442,0.5733117461204529,0.7254807949066162
1,0.5616382956504822,0.623713493347168,0.6394056677818298,0.5918918251991272,0.6444868445396423,0.6141875386238098
2,0.6095840930938721,0.6713454723358154,0.56277996301651,0.560854971408844,0.6013451814651489,0.680350661277771
3,0.6340886354446411,0.6944126486778259,0.5247105360031128,0.5984128713607788,0.6446300745010376,0.6134605407714844
4,0.650570809841156,0.7093737721443176,0.5001106858253479,0.5375062227249146,0.5763992071151733,0.7428109049797058
5,0.6617419719696045,0.7196565866470337,0.4840036630630493,0.6471898555755615,0.6979351043701172,0.5190513134002686
6,0.6716225147247314,0.7289474606513977,0.4703211188316345,0.6576162576675415,0.7138771414756775,0.4959592819213867
7,0.6800531148910522,0.735771894454956,0.45765021443367004,0.6702840328216553,0.7194658517837524,0.4844091236591339
8,0.6874503493309021,0.741473376750946,0.4472547173500061,0.6490973234176636,0.6912003755569458,0.5380953550338745
9,0.6954635977745056,0.7486140131950378,0.43584325909614563,0.6910519003868103,0.7442774176597595,0.44139590859413147
10,0.7028258442878723,0.7548563480377197,0.4261734187602997,0.6340774297714233,0.6804606318473816,0.5466719269752502
11,0.7087758779525757,0.7601274251937866,0.4181419610977173,0.6681153774261475,0.7162950038909912,0.4913981258869171
12,0.7154766321182251,0.7660553455352783,0.40861064195632935,0.6773964762687683,0.7285133600234985,0.47283095121383667
13,0.7211666703224182,0.7704543471336365,0.40047088265419006,0.713768720626831,0.7588881850242615,0.42074474692344666
14,0.7273207306861877,0.7757566571235657,0.3923925459384918,0.6587650775909424,0.7076932191848755,0.5031187534332275
15,0.7322447299957275,0.7797077894210815,0.38584262132644653,0.6563109755516052,0.7007849812507629,0.5196624398231506
16,0.7379863262176514,0.7850760817527771,0.3774043917655945,0.7190786600112915,0.7678964138031006,0.40391191840171814
17,0.743835985660553,0.7899975776672363,0.3694339990615845,0.7178654074668884,0.760962724685669,0.4189252257347107
18,0.7477077841758728,0.792763888835907,0.3639228641986847,0.6893939971923828,0.7329221963882446,0.46523118019104004
19,0.752856969833374,0.7971489429473877,0.35689884424209595,0.7295244932174683,0.7654418349266052,0.41253024339675903
20,0.7589572668075562,0.8020464777946472,0.34780046343803406,0.6729457974433899,0.7094631791114807,0.5159180164337158
21,0.7656715512275696,0.8083775639533997,0.3391290009021759,0.7248460650444031,0.7644139528274536,0.40371063351631165
22,0.7724840044975281,0.8137679696083069,0.3286123275756836,0.7398930191993713,0.7729822993278503,0.40166452527046204
23,0.7786632776260376,0.8190575838088989,0.3205190598964691,0.744726300239563,0.7729113698005676,0.39703381061553955
24,0.7848665714263916,0.8240879774093628,0.31112995743751526,0.7524996995925903,0.7868778109550476,0.3781474232673645
25,0.7901701927185059,0.8283225893974304,0.3032149374485016,0.7614990472793579,0.7937456965446472,0.36402952671051025
26,0.7959224581718445,0.833108127117157,0.2951233685016632,0.7370454668998718,0.7738277912139893,0.401496946811676
27,0.8014854192733765,0.8380429744720459,0.2875235676765442,0.7606582045555115,0.7977153062820435,0.3534930944442749
28,0.8075881600379944,0.8434327244758606,0.2792361080646515,0.77030348777771,0.8034545183181763,0.3488810658454895
29,0.8118013143539429,0.8467531204223633,0.27324026823043823,0.7677953243255615,0.7957268953323364,0.36311405897140503
30,0.8160585761070251,0.8502312898635864,0.2668937146663666,0.7505626678466797,0.7834941744804382,0.38744181394577026
31,0.8207764625549316,0.8540910482406616,0.26102373003959656,0.7714859843254089,0.7989457845687866,0.3577471375465393
32,0.825556755065918,0.8581122756004333,0.2540524899959564,0.7598357200622559,0.7843548059463501,0.3846065104007721
33,0.8291800618171692,0.8609257340431213,0.24883240461349487,0.7755813002586365,0.8020091652870178,0.3516111373901367
34,0.833442211151123,0.8648776412010193,0.24309594929218292,0.7768368124961853,0.8069563508033752,0.34465405344963074
35,0.8368760943412781,0.8675948977470398,0.2380867898464203,0.7899148464202881,0.8132772445678711,0.33280709385871887
36,0.8429030776023865,0.8721081614494324,0.22993366420269012,0.7731757164001465,0.7959557175636292,0.37101849913597107
37,0.8456229567527771,0.8747660517692566,0.2259036898612976,0.779279351234436,0.803784966468811,0.3517400622367859
38,0.8485800623893738,0.8769795298576355,0.22194698452949524,0.7967802882194519,0.8177498579025269,0.32959941029548645
39,0.8530815839767456,0.8805784583091736,0.2153603434562683,0.7799670696258545,0.7988555431365967,0.368265300989151
40,0.8569561839103699,0.8839554190635681,0.21003805100917816,0.7892844676971436,0.8077301979064941,0.3479607105255127
